Campaign,Ad Group,Status
WW | NZ | Brand,Brand - Waterwell,Enabled
WW | NZ | Online Naturopath,Online Naturopath Consult,Enabled
WW | NZ | Online Naturopath,General Naturopathy,Enabled
WW | NZ | Skin Conditions,Eczema,Enabled
WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Enabled
WW | NZ | Skin Conditions,Other Skin Conditions,Enabled
WW | AU | Online Naturopath,Online Naturopath Consult AU,Enabled
WW | AU | Skin Conditions,Eczema AU,Enabled
WW | AU | Skin Conditions,TSW AU,Enabled
WW | AU | Skin Conditions,Skin Support AU,Enabled
